customer_name,device_name,service_name,start_date,latitude,longitude
N,f,A,1970-01-23T00:00:00Z,00°22.0000′N,000°22.0000′W
QL,KH,uq,1970-01-24T00:00:00Z,00°23.0000′N,000°23.0000′W
nQT,upq,ziQ,1970-01-25T00:00:00Z,00°24.0000′N,000°24.0000′W
PtDu,WeaD,NKge,1970-01-26T00:00:00Z,00°25.0000′N,000°25.0000′W
InGqi,wepxs,kCITt,1970-01-27T00:00:00Z,00°26.0000′N,000°26.0000′W
NZPHaQ,JtQgiq,hgVJjr,1970-01-28T00:00:00Z,00°27.0000′N,000°27.0000′W
sMnTvnR,OqGFqdf,OBrcavX,1970-01-29T00:00:00Z,00°28.0000′N,000°28.0000′W
iOqkVCJT,BJaheSjI,cxLJjBic,1970-01-30T00:00:00Z,00°29.0000′N,000°29.0000′W
txYcwnRpQ,gwXJANVjp,kZZlAblVv,1970-01-31T00:00:00Z,00°30.0000′N,000°30.0000′W
YAZQVZprkY,SgycEomDwt,YoobQmzvre,1970-02-01T00:00:00Z,00°31.0000′N,000°31.0000′W
XrwPGzRIvbh,qlLqcgMBwUY,uBMGhyKmqcT,1970-02-02T00:00:00Z,00°32.0000′N,000°32.0000′W
B,a,H,1970-02-03T00:00:00Z,00°33.0000′N,000°33.0000′W
ZI,RU,VV,1970-02-04T00:00:00Z,00°34.0000′N,000°34.0000′W
Qmx,BeQ,vNu,1970-02-05T00:00:00Z,00°35.0000′N,000°35.0000′W
QhUt,GtQA,uzSs,1970-02-06T00:00:00Z,00°36.0000′N,000°36.0000′W
JimAQ,yRVlN,KtzJa,1970-02-07T00:00:00Z,00°37.0000′N,000°37.0000′W
tsnBYL,MPuDCC,RnGEYY,1970-02-08T00:00:00Z,00°38.0000′N,000°38.0000′W
VkQfsGQ,ONvfWpR,toZmjbc,1970-02-09T00:00:00Z,00°39.0000′N,000°39.0000′W
pENXeDAO,KmTSyFzp,jPSaWXgX,1970-02-10T00:00:00Z,00°40.0000′N,000°40.0000′W
BolZSHDdJ,phDiZDQHJ,MuWCNUGBJ,1970-02-11T00:00:00Z,00°41.0000′N,000°41.0000′W
CkVECqWpOr,XXHFOprCeT,sprvuIfijo,1970-02-12T00:00:00Z,00°42.0000′N,000°42.0000′W
ySjTneAAvID,AdnAyXLSbWK,yEawtWyAIVV,1970-02-13T00:00:00Z,00°43.0000′N,000°43.0000′W
I,Z,M,1970-02-14T00:00:00Z,00°44.0000′N,000°44.0000′W
oF,or,BF,1970-02-15T00:00:00Z,00°45.0000′N,000°45.0000′W
byv,QRZ,zUk,1970-02-16T00:00:00Z,00°46.0000′N,000°46.0000′W
DiNI,bzLK,QbfP,1970-02-17T00:00:00Z,00°47.0000′N,000°47.0000′W
BiDld,qyunD,uvWyr,1970-02-18T00:00:00Z,00°48.0000′N,000°48.0000′W
WAqfEb,VIdwoP,eXPcWb,1970-02-19T00:00:00Z,00°49.0000′N,000°49.0000′W
pmbNjpi,EQhKnDS,qXxkMMV,1970-02-20T00:00:00Z,00°50.0000′N,000°50.0000′W
ThXktgLb,tKRyzTme,LSOpgSXt,1970-02-21T00:00:00Z,00°51.0000′N,000°51.0000′W
RMZhYKYcw,IBQxeGPva,AFgBxODTj,1970-02-22T00:00:00Z,00°52.0000′N,000°52.0000′W
BlUHPrNZIX,EDBULrupfr,CpWDKNQyvb,1970-02-23T00:00:00Z,00°53.0000′N,000°53.0000′W
FulFnwZqvrM,SrJaHmfpUAF,JWpSEPTFCYb,1970-02-24T00:00:00Z,00°54.0000′N,000°54.0000′W
f,s,o,1970-02-25T00:00:00Z,00°55.0000′N,000°55.0000′W
zS,pt,QL,1970-02-26T00:00:00Z,00°56.0000′N,000°56.0000′W
xEJ,HwB,VJv,1970-02-27T00:00:00Z,00°57.0000′N,000°57.0000′W
wSDr,tqoh,Umuh,1970-02-28T00:00:00Z,00°58.0000′N,000°58.0000′W
VIWSl,mnVEr,ULWHM,1970-03-01T00:00:00Z,00°59.0000′N,000°59.0000′W
sgmsox,ltaTIi,rcdJsS,1970-03-02T00:00:00Z,01°00.0000′N,001°00.0000′W
iOWFgaK,sEECvld,qEhezFe,1970-03-03T00:00:00Z,01°01.0000′N,001°01.0000′W
KORdjjZK,tfphJWAM,MYNoXHyC,1970-03-04T00:00:00Z,01°02.0000′N,001°02.0000′W
CtLBtKNdN,VgWnOnqQf,kplJekaAC,1970-03-05T00:00:00Z,01°03.0000′N,001°03.0000′W
SMEscosTsS,DeRoqYYOLQ,ZmBhIoPjrj,1970-03-06T00:00:00Z,01°04.0000′N,001°04.0000′W
edkYtMVKsCh,DStSzrGIFCf,McBVuMqbfoR,1970-03-07T00:00:00Z,01°05.0000′N,001°05.0000′W
K,L,b,1970-03-08T00:00:00Z,01°06.0000′N,001°06.0000′W
WR,rK,cW,1970-03-09T00:00:00Z,01°07.0000′N,001°07.0000′W
WlE,HPC,rlL,1970-03-10T00:00:00Z,01°08.0000′N,001°08.0000′W
BOFf,EwAv,uQgk,1970-03-11T00:00:00Z,01°09.0000′N,001°09.0000′W
vASFs,QzWJc,Dfuqu,1970-03-12T00:00:00Z,01°10.0000′N,001°10.0000′W
hXzGaQ,IDAdmH,xNWFOC,1970-03-13T00:00:00Z,01°11.0000′N,001°11.0000′W
WdnrJis,CSFhbOM,ZpTktJa,1970-03-14T00:00:00Z,01°12.0000′N,001°12.0000′W
JAfohDhP,jFTsGTrA,EEpDJjym,1970-03-15T00:00:00Z,01°13.0000′N,001°13.0000′W
MGVierXYA,vYGrasUtL,LQFjCIEwv,1970-03-16T00:00:00Z,01°14.0000′N,001°14.0000′W
JWIyDumSpK,yoXAcuVETZ,yyQYPjFciG,1970-03-17T00:00:00Z,01°15.0000′N,001°15.0000′W
LvgCgHDaUjA,PjeEYqvNSzP,fvRIyuOTWFI,1970-03-18T00:00:00Z,01°16.0000′N,001°16.0000′W
c,N,e,1970-03-19T00:00:00Z,01°17.0000′N,001°17.0000′W
pO,Rs,oV,1970-03-20T00:00:00Z,01°18.0000′N,001°18.0000′W
fBg,WOT,gCk,1970-03-21T00:00:00Z,01°19.0000′N,001°19.0000′W
Stbc,uYds,wxBj,1970-03-22T00:00:00Z,01°20.0000′N,001°20.0000′W
pHAKR,Ylklf,NyNRp,1970-03-23T00:00:00Z,01°21.0000′N,001°21.0000′W
FLjoDO,qDqQaZ,DsRIke,1970-03-24T00:00:00Z,01°22.0000′N,001°22.0000′W
CwLtOBS,qDtmyEg,pyKwKsS,1970-03-25T00:00:00Z,01°23.0000′N,001°23.0000′W
sbQzraKR,XVdMVFsX,ZoMZwoOm,1970-03-26T00:00:00Z,01°24.0000′N,001°24.0000′W
NqRWUXQRi,OgOPctYCc,LxUifsuVA,1970-03-27T00:00:00Z,01°25.0000′N,001°25.0000′W
lmiYIxHGrk,qEZsVvZhDe,jWoRURzZJx,1970-03-28T00:00:00Z,01°26.0000′N,001°26.0000′W
fYzaqIhDxRV,RqLyOxgRoEb,NJuNoPeODSt,1970-03-29T00:00:00Z,01°27.0000′N,001°27.0000′W
P,A,h,1970-03-30T00:00:00Z,01°28.0000′N,001°28.0000′W
ic,ct,Fh,1970-03-31T00:00:00Z,01°29.0000′N,001°29.0000′W
gpI,iyD,xQV,1970-04-01T00:00:00Z,01°30.0000′N,001°30.0000′W
SIAL,VUjA,PgFN,1970-04-02T00:00:00Z,01°31.0000′N,001°31.0000′W
ArcSx,nCCpx,gRxIP,1970-04-03T00:00:00Z,01°32.0000′N,001°32.0000′W
wdzrmh,DfQnPO,MbdYvp,1970-04-04T00:00:00Z,01°33.0000′N,001°33.0000′W
iYKneWJ,nLnovXj,YMarjiI,1970-04-05T00:00:00Z,01°34.0000′N,001°34.0000′W
qZlhQbia,wYYpLubl,qdiVAHhV,1970-04-06T00:00:00Z,01°35.0000′N,001°35.0000′W
eECXxGLgC,GoNcUYQHt,DPbdEzBRg,1970-04-07T00:00:00Z,01°36.0000′N,001°36.0000′W
FTCefuMjei,rNOLJTuyMH,sDGMBgYShP,1970-04-08T00:00:00Z,01°37.0000′N,001°37.0000′W
PXJUnBCoAvD,zAUguBuQqxj,REefffBgVVx,1970-04-09T00:00:00Z,01°38.0000′N,001°38.0000′W
Z,i,J,1970-04-10T00:00:00Z,01°39.0000′N,001°39.0000′W
dL,JJ,vQ,1970-04-11T00:00:00Z,01°40.0000′N,001°40.0000′W
,QWB,Uds,1970-04-12T00:00:00Z,01°41.0000′N,001°41.0000′W
Mtwg,,QEog,1970-04-13T00:00:00Z,01°42.0000′N,001°42.0000′W
wJxhW,rKoZB,,1970-04-14T00:00:00Z,01°43.0000′N,001°43.0000′W
PJbMQS,rblrSW,tvwalj,,01°44.0000′N,001°44.0000′W
KQzejVO,bfVHnyA,DvkxtUu,1970-04-16T00:00:00Z,,001°45.0000′W
XKMfdjkW,NdRfrCQB,FMCArnWG,1970-04-17T00:00:00Z,01°46.0000′N,
,HQtcozMda,ntnXiWqsu,1970-04-18T00:00:00Z,01°47.0000′N,001°47.0000′W
haFVBliyIT,,BbDeuKBKzT,1970-04-19T00:00:00Z,01°48.0000′N,001°48.0000′W
OAshzbukZND,SxfBgpBLzHf,,1970-04-20T00:00:00Z,01°49.0000′N,001°49.0000′W
h,H,G,oII~?iu,01°50.0000′N,001°50.0000′W
gj,qm,lM,1970-04-22T00:00:00Z,"j@9m=",001°51.0000′W
FDW,KWL,CRK,1970-04-23T00:00:00Z,01°52.0000′N,?><F=EjU
